               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061293,            0.034091,             0.10135,            0.016234,             0.59912,            0.019817,             0.01328,            0.029777,            0.017794,            0.098602,            0.003332,            0.003332,            0.070012
                   1,             0.04206,            0.025818,            0.097662,            0.019147,             0.39608,             0.02417,            0.015495,            0.027812,            0.014692,            0.097008,           0.0066284,           0.0066284,            0.039975
                   2,              0.0387,            0.023696,            0.096375,            0.050253,             0.22913,            0.048969,             0.03364,            0.024659,            0.014004,            0.095233,           0.0097785,           0.0097785,           0.0097918
                   3,            0.033276,            0.022904,            0.094301,             0.16321,             0.27991,            0.095249,            0.067702,            0.022721,            0.013182,            0.091352,           0.0095095,           0.0095095,           0.0095095
                   4,            0.030657,            0.022428,            0.090774,             0.12176,             0.40099,             0.13271,            0.098094,            0.020215,            0.012393,            0.086753,           0.0095095,           0.0095095,           0.0095095
                   5,            0.029144,            0.020838,            0.086624,             0.23664,             0.38809,             0.21326,             0.16071,            0.020575,            0.012479,            0.082009,           0.0091406,           0.0091406,           0.0091406
                   6,            0.028259,            0.020838,            0.082209,             0.28479,             0.42447,             0.27412,             0.20155,            0.020056,            0.012127,            0.077234,            0.008682,            0.008682,            0.008682
                   7,            0.028337,            0.020461,            0.078041,             0.35454,             0.41109,             0.34248,             0.24876,            0.020811,            0.011878,            0.072912,            0.008145,            0.008145,            0.008145
                   8,            0.027713,             0.02031,            0.073667,             0.40681,             0.47295,             0.40173,             0.30411,            0.019542,            0.011661,            0.067084,            0.007543,            0.007543,            0.007543
                   9,             0.02762,            0.020072,            0.069037,             0.68272,             0.36079,             0.45367,             0.33928,              0.0202,            0.011696,            0.061882,           0.0068906,           0.0068906,           0.0068906
                  10,            0.026961,            0.019485,            0.064986,             0.56527,             0.46628,             0.50592,             0.38097,            0.019861,            0.011578,            0.057852,            0.006204,            0.006204,            0.006204
                  11,            0.026379,            0.019376,             0.06141,             0.71057,             0.44455,             0.54439,              0.4236,            0.019058,            0.011383,            0.055075,              0.0055,              0.0055,              0.0055
                  12,            0.026012,             0.01916,            0.058709,             0.66543,             0.51717,             0.59753,              0.4724,            0.018388,            0.011035,            0.050906,            0.004796,            0.004796,            0.004796
                  13,            0.025499,            0.018869,            0.055664,             0.52776,              0.6445,             0.62371,             0.48699,            0.019052,            0.011147,            0.048273,           0.0041094,           0.0041094,           0.0041094
                  14,             0.02525,            0.018502,            0.052496,             0.63243,              0.6055,              0.6509,             0.51584,            0.018453,            0.011111,            0.044978,            0.003457,            0.003457,            0.003457
                  15,             0.02478,            0.018564,            0.050101,             0.59232,             0.66981,             0.68799,             0.54095,            0.018691,             0.01099,            0.042437,            0.002855,            0.002855,            0.002855
                  16,            0.023651,            0.018186,             0.04785,             0.60439,             0.69123,             0.70743,             0.56663,            0.017845,            0.010711,            0.039926,            0.002318,            0.002318,            0.002318
                  17,            0.023177,            0.017787,            0.045204,             0.70211,             0.69519,             0.74437,             0.60069,            0.017205,              0.0105,             0.03759,           0.0018594,           0.0018594,           0.0018594
                  18,             0.02244,            0.017479,            0.043705,             0.69768,             0.71157,             0.75282,              0.6115,            0.017466,            0.010553,            0.036277,           0.0014905,           0.0014905,           0.0014905
                  19,            0.022156,            0.017715,            0.042148,             0.73762,             0.72585,             0.77482,             0.63546,            0.016878,            0.010385,            0.034229,           0.0012202,           0.0012202,           0.0012202
